Stock,Lot,Average,Total,Price,Current Total,Profit,Change Percentage,Commission
SISE.IS,50.0,34.788,1739.4,52.1,2605.0,865.6,49.764%,3.64
PETKM.IS,40.0,16.415,656.6,17.97,718.8,62.2,9.473%,1.37
ODAS.IS,35.0,8.761,306.65,11.86,415.1,108.45,35.366%,3.38
PGSUS.IS,2.0,374.1,748.2,954.9,1909.8,1161.6,155.253%,1.57
AKBNK.IS,130.0,16.869,2193.0,33.26,4323.8,2130.8,97.164%,4.58
ALFAS.IS,0.0,0,-122.5,831.7,0.0,122.5,-100.0%,1.32
EREGL.IS,65.0,33.678,2189.1,41.58,2702.7,513.6,23.462%,4.57
TUPRS.IS,9.0,174.222,1568.0,108.3,974.7,-593.3,-37.838%,3.27
KRDMD.IS,80.0,16.27,1301.6,24.34,1947.2,645.6,49.6%,2.72
YKBNK.IS,40.0,9.05,362.0,16.86,674.4,312.4,86.298%,0.76
FROTO.IS,2.0,779.3,1558.6,951.6,1903.2,344.6,22.11%,3.26
CANTE.IS,0.0,0,159.6,19.02,0.0,-159.6,-100.0%,4.22
KCHOL.IS,3.0,112.4,337.2,137.1,411.3,74.1,21.975%,0.7
THYAO.IS,6.0,104.3,625.8,265.8,1594.8,969.0,154.842%,1.31
TUKAS.IS,25.0,20.32,508.0,9.29,232.25,-275.75,-54.281%,1.06
BRKVY.IS,0.0,0,-175.78,44.86,0.0,175.78,-100.0%,0.2
KOPOL.IS,19.0,24.5,465.5,70.6,1341.4,875.9,188.163%,0.1
EUPWR.IS,20.0,40.6,812.0,189.5,3790.0,2978.0,366.749%,0.1
CWENE.IS,7.0,108.6,760.2,361.4,2529.8,1769.6,232.781%,0.1
KLSER.IS,50.0,25.0,1250.0,71.15,3557.5,2307.5,184.6%,0.1
ASGYO.IS,0.0,0,-330.0,19.02,0.0,330.0,-100.0%,0.2
-,-,-,17541.45,-,31603.55,14690.38,80.165%,38.53
